url,average_time
http://localhost:8010/api/affiliation/institution/04j43p132/research/products,8.624
http://localhost:8010/api/affiliation/institution/027nnzv91/research/products,0.526
http://localhost:8010/api/apc/affiliation/01p9nak43,0.019
http://localhost:8010/api/apc/affiliation/04j43p132,0.016
http://localhost:8010/api/apc/affiliation/027nnzv91,0.076
http://localhost:8010/api/apc/person/A5105622035,0.015
http://localhost:8010/api/apc/person/A5112693177,0.021
http://localhost:8010/api/apc/person/0000000347185957,0.030
http://localhost:8010/api/apc/search?keywords=1500,0.040
http://localhost:8010/api/person/A5105622035,0.032
http://localhost:8010/api/person/A5112693177,0.015
http://localhost:8010/api/person/0000000347185957,0.015
http://localhost:8010/api/person/A5105622035/research/products,5.462
http://localhost:8010/api/person/A5112693177/research/products,4.115
http://localhost:8010/api/person/0000000347185957/research/products,0.032
http://localhost:8010/api/person/A5105622035/research/news,0.036
http://localhost:8010/api/person/A5112693177/research/news,0.034
http://localhost:8010/api/person/0000000347185957/research/news,0.026
http://localhost:8010/api/search/affiliations/institution,0.015
http://localhost:8010/api/search/person?keywords=jaime,3.345
http://localhost:8010/api/search/works?keywords=ai,0.329
http://localhost:8010/api/affiliation/institution/01p9nak43/research/products,0.041
http://localhost:8010/api/affiliation/institution/04j43p132/research/products,0.523
http://localhost:8010/api/affiliation/institution/027nnzv91/research/products,0.596
http://localhost:8010/api/apc/affiliation/01p9nak43,0.022
http://localhost:8010/api/apc/affiliation/04j43p132,0.030
http://localhost:8010/api/apc/affiliation/027nnzv91,0.087
http://localhost:8010/api/apc/person/A5105622035,0.023
http://localhost:8010/api/apc/person/A5112693177,0.020
http://localhost:8010/api/apc/person/0000000347185957,0.031
http://localhost:8010/api/apc/search?keywords=2000,4.377
http://localhost:8010/api/person/A5105622035,0.027
http://localhost:8010/api/person/A5112693177,0.026
http://localhost:8010/api/person/0000000347185957,0.026
http://localhost:8010/api/person/A5105622035/research/products,5.884
http://localhost:8010/api/person/A5112693177/research/products,4.536
http://localhost:8010/api/person/0000000347185957/research/products,0.034
http://localhost:8010/api/person/A5105622035/research/news,0.022
http://localhost:8010/api/person/A5112693177/research/news,0.022
http://localhost:8010/api/person/0000000347185957/research/news,0.032
http://localhost:8010/api/search/affiliations/institution,0.022
http://localhost:8010/api/search/person?keywords=jaime,1.522
http://localhost:8010/api/search/works?keywords=ai,0.255
http://localhost:8010/api/affiliation/institution/01p9nak43/research/products,0.029
http://localhost:8010/api/affiliation/institution/04j43p132/research/products,0.456
http://localhost:8010/api/affiliation/institution/027nnzv91/research/products,0.510
http://localhost:8010/api/apc/affiliation/01p9nak43,0.022
http://localhost:8010/api/apc/affiliation/04j43p132,0.036
http://localhost:8010/api/apc/affiliation/027nnzv91,0.065
http://localhost:8010/api/apc/person/A5105622035,0.019
http://localhost:8010/api/apc/person/A5112693177,0.022
http://localhost:8010/api/apc/person/0000000347185957,0.030
http://localhost:8010/api/apc/search?keywords=1500,0.046
http://localhost:8010/api/person/A5105622035,0.020
http://localhost:8010/api/person/A5112693177,0.020
http://localhost:8010/api/person/0000000347185957,0.022
http://localhost:8010/api/person/A5105622035/research/products,6.149
http://localhost:8010/api/person/A5112693177/research/products,5.072
http://localhost:8010/api/person/0000000347185957/research/products,0.045
http://localhost:8010/api/person/A5105622035/research/news,0.031
http://localhost:8010/api/person/A5112693177/research/news,0.051
http://localhost:8010/api/person/0000000347185957/research/news,0.035
http://localhost:8010/api/search/affiliations/institution,0.024
http://localhost:8010/api/search/person?keywords=alejandra,5.163
http://localhost:8010/api/search/works?keywords=data,24.600
http://localhost:8010/api/affiliation/institution/01p9nak43/research/products,0.029
http://localhost:8010/api/affiliation/institution/04j43p132/research/products,1.870
http://localhost:8010/api/affiliation/institution/027nnzv91/research/products,2.254
http://localhost:8010/api/apc/affiliation/01p9nak43,0.026
http://localhost:8010/api/apc/affiliation/04j43p132,0.025
http://localhost:8010/api/apc/affiliation/027nnzv91,0.093
http://localhost:8010/api/apc/person/A5105622035,0.019
http://localhost:8010/api/apc/person/A5112693177,0.031
http://localhost:8010/api/apc/person/0000000347185957,0.023
http://localhost:8010/api/apc/search?keywords=1500,0.070
http://localhost:8010/api/person/A5105622035,0.020
http://localhost:8010/api/person/A5112693177,0.026
http://localhost:8010/api/person/0000000347185957,0.022
http://localhost:8010/api/person/A5105622035/research/products,6.191
http://localhost:8010/api/person/A5112693177/research/products,5.353
http://localhost:8010/api/person/0000000347185957/research/products,0.042
http://localhost:8010/api/person/A5105622035/research/news,0.024
http://localhost:8010/api/person/A5112693177/research/news,0.021
http://localhost:8010/api/person/0000000347185957/research/news,0.028
http://localhost:8010/api/search/affiliations/institution,0.014
http://localhost:8010/api/search/person?keywords=garcia,11.736
http://localhost:8010/api/search/works?keywords=salud,5.997
http://localhost:8010/api/affiliation/institution/01p9nak43/research/products,0.032
http://localhost:8010/api/affiliation/institution/04j43p132/research/products,0.731
http://localhost:8010/api/affiliation/institution/027nnzv91/research/products,0.883
http://localhost:8010/api/apc/affiliation/01p9nak43,0.026
http://localhost:8010/api/apc/affiliation/04j43p132,0.033
http://localhost:8010/api/apc/affiliation/027nnzv91,0.109
http://localhost:8010/api/apc/person/A5105622035,0.033
http://localhost:8010/api/apc/person/A5112693177,0.036
http://localhost:8010/api/apc/person/0000000347185957,0.023
http://localhost:8010/api/apc/search?keywords=1500,0.090
http://localhost:8010/api/person/A5105622035,0.029
http://localhost:8010/api/person/A5112693177,0.025
http://localhost:8010/api/person/0000000347185957,0.028
http://localhost:8010/api/person/A5105622035/research/products,9.549
http://localhost:8010/api/person/A5112693177/research/products,7.000
http://localhost:8010/api/person/0000000347185957/research/products,0.053
http://localhost:8010/api/person/A5105622035/research/news,0.033
http://localhost:8010/api/person/A5112693177/research/news,0.049
http://localhost:8010/api/person/0000000347185957/research/news,0.040
http://localhost:8010/api/search/affiliations/institution,0.020
http://localhost:8010/api/search/person?keywords=garcia,9.792
http://localhost:8010/api/search/works?keywords=ciencia,4.494
http://localhost:8010/api/affiliation/institution/01p9nak43/research/products,0.036
http://localhost:8010/api/affiliation/institution/04j43p132/research/products,0.553
http://localhost:8010/api/affiliation/institution/027nnzv91/research/products,0.729
http://localhost:8010/api/apc/affiliation/01p9nak43,0.025
http://localhost:8010/api/apc/affiliation/04j43p132,0.041
http://localhost:8010/api/apc/affiliation/027nnzv91,0.123
http://localhost:8010/api/apc/person/A5105622035,0.025
http://localhost:8010/api/apc/person/A5112693177,0.031
http://localhost:8010/api/apc/person/0000000347185957,0.023
http://localhost:8010/api/apc/search?keywords=500,0.232
http://localhost:8010/api/person/A5105622035,0.027
http://localhost:8010/api/person/A5112693177,0.026
http://localhost:8010/api/person/0000000347185957,0.028
http://localhost:8010/api/person/A5105622035/research/products,9.049
http://localhost:8010/api/person/A5112693177/research/products,6.651
http://localhost:8010/api/person/0000000347185957/research/products,0.056
http://localhost:8010/api/person/A5105622035/research/news,0.027
http://localhost:8010/api/person/A5112693177/research/news,0.033
http://localhost:8010/api/person/0000000347185957/research/news,0.036
http://localhost:8010/api/search/affiliations/institution,0.027
http://localhost:8010/api/search/person?keywords=garcia,9.108
http://localhost:8010/api/search/works?keywords=ciencia,3.019
http://localhost:8010/api/affiliation/institution/01p9nak43/research/products,0.029
http://localhost:8010/api/affiliation/institution/04j43p132/research/products,0.568
http://localhost:8010/api/affiliation/institution/027nnzv91/research/products,0.601
http://localhost:8010/api/apc/affiliation/01p9nak43,0.031
http://localhost:8010/api/apc/affiliation/04j43p132,0.039
http://localhost:8010/api/apc/affiliation/027nnzv91,0.110
http://localhost:8010/api/apc/person/A5105622035,0.038
http://localhost:8010/api/apc/person/A5112693177,0.023
http://localhost:8010/api/apc/person/0000000347185957,0.027
http://localhost:8010/api/apc/search?keywords=2000,2.535
http://localhost:8010/api/person/A5105622035,0.031
http://localhost:8010/api/person/A5112693177,0.030
http://localhost:8010/api/person/0000000347185957,0.027
http://localhost:8010/api/person/A5105622035/research/products,7.255
http://localhost:8010/api/person/A5112693177/research/products,5.598
http://localhost:8010/api/person/0000000347185957/research/products,0.066
http://localhost:8010/api/person/A5105622035/research/news,0.032
http://localhost:8010/api/person/A5112693177/research/news,0.027
http://localhost:8010/api/person/0000000347185957/research/news,0.030
http://localhost:8010/api/search/affiliations/institution,0.018
